Sequencing Run ID	antisense	bidirectional_promoter_lncRNA	lincRNA	miRNA	processed_transcript	protein_coding	rRNA	scaRNA	snoRNA	snRNA	other	Grand Total
EL4-NP-ER-Son	417	4	468	153	236	15,484	48	16	159	92	952	18,029
EL4-NP-SAL-Son	681	10	774	239	361	17,014	82	18	200	144	1,458	20,981
EL4-NP-SAL-Ext	540	7	668	193	303	16,333	68	16	173	135	1,077	19,513
EL4-Tot	890	16	1,086	401	437	16,747	50	20	246	275	2,516	22,684
EL4-Tot-ER	425	10	558	223	271	13,594	35	17	191	143	1,112	16,579
EL4-IC-SAL-1	123	0	192	16	107	10,097	18	0	20	6	319	10,898
EL4-IC-SAL-2	318	0	439	77	209	14,575	39	4	100	54	622	16,437
